name,rating,total_reviews,price,buyers
"Dixie EcoSmart 100% Recycled Fiber Paper Plates, 10 in, 36 Count, Medium Disposable Plate Great for Light Breakfast, Lunch, and Dinner Size",4.5,136,9,50+
"EconoHome 50 Pack Disposable Plates with 3 Compartments - Eco-Conscious Bagasse Sugarcane Disposable Plates - Microwave, Refrigerator-Safe - Heavy Duty Paper Plates for Dinner Party Supplies",4.5,125,20,50+
100% Compostable Paper Plates [9 in.] COMPARTMENTS – 150 Disposable Plates Eco Friendly Sturdy Tree Free Liquid and Heat Resistant Alternative to Plastic or Paper Plates,4.4,123,38,50+
"100% Compostable Disposable Paper Plates Bulk [9"" 50 Pack], Bamboo Plates, Eco Friendly, Biodegradable, Sturdy Large Dinner Party Plates, Heavy-Duty, Unbleached by Earth's Natural Alternative",4.7,10635,13,N/A
JOLLY CHEF Compostable Heavy Duty Plates 10 Inch [100 Pack] Eco-Friendly Disposable Natural Paper Plates Bagasse Biodegradable Plates Bulk for Party Dinner Sugarcane Fibers Round Plates(Brown),4.7,234,22,100+
"Paper Plates, 100% Compostable Heavy Duty, Disposable 7 Inch, Small Dessert Plate - [125-Pack] - {PFAS-Free} - {BPI Certified} Eco-Friendly, Biodegradable Bagasse Natural Brown 7"" Small Plates",4.6,8097,16,5000
"250 Piece Biodegradable Paper Plates Set (EXTRA LONG UTENSILS), Disposable Dinnerware Set, Eco Friendly Compostable Plates & Utensil include Plates, Forks, Knives and Spoons for Party",4.6,1754,32,800+
"Chic Leaf Palm Leaf Disposable Plates - Bamboo Plates Disposable 10 Inch & 7 Inch Square (48 pc) Compostable & Biodegradable, Better than Plastic Plates - Heavy-Duty, Party Plates Dinnerware Set",4.5,2112,34,4000
ECO SOUL Pearl White 9 Inch [100-Pack] Paper Plates (PFAS free) | 100% Compostable Disposable Bagasse I Heavy Duty Eco-Friendly Dinner Plates I Biodegradable Sugarcane Eco Plates | Microwavable,4.4,245,15,100+
"Raj Eco Compostable Palm Leaf Plates Like Bamboo Plates Disposable - 10 Inch Square 50 Party Plates, Natural Wooden, Eco-Friendly, Fancy Biodegradable & Disposable Wedding Picnic Plates",4.5,231,27,N/A
"ECOLipak 350 Pack Compostable Paper Plates Set, Heavy Duty Biodegradable Plates Set & Eco Friendly CPLA Cutlery, Disposable Dinnerware Set for Party Camping Birthday BBQ",4.7,432,29,50+
"Disposable Compostable Paper Plates 9 Inch [125-Pack], Heavy Duty, Eco-Friendly made with Biodegradable Bagasse for Parties and Picinic, (Natural-Brown)",4.6,56,21,50+
"ECO SOUL 100% Compostable, Disposable Bagasse Paper Plates | (125 Count, 10"" Round Plates, 3 Compartment) | Eco-friendly Dinner Plates | Sturdy, Microwave & Oven Safe | Party, Wedding, Event Plate",4.4,75,21,N/A
